what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.xsl.ui,1.0.0.v200904300717,"org.eclipse.wst.xsl.ui",1276938788520
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.0.0.v200904240436,"org.eclipse.wst.xml.xpath.ui",1276938788520
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1276938788520
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.launching",1276938788520
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.0.v200904241348,"org.eclipse.wst.xsl.launching",1276938788520
stopped,bundle,org.eclipse.wst.xsl.core,1.0.0.v200905071815,"org.eclipse.wst.xsl.core",1276938788520
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.0.v200904280338,"org.eclipse.datatools.enablement.oda.xml.ui",1276938788520
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.0.v200905231053,"org.eclipse.datatools.enablement.oda.xml",1276938788520
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.0.v20090525,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1276938788520
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.4.v20090503,"org.eclipse.jst.jsf.facesconfig.ui",1276938788520
stopped,bundle,org.eclipse.jst.jsf.ui,1.2.0.v20090427,"org.eclipse.jst.jsf.ui",1276938788520
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.2.v20090317,"org.eclipse.jst.pagedesigner.jsf.ui",1276938788520
stopped,bundle,org.eclipse.jst.pagedesigner,1.2.0.v20090602,"org.eclipse.jst.pagedesigner",1276938788520
stopped,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,"org.eclipse.jst.jsf.core",1276938788520
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.1.v20081209,"org.eclipse.jst.jsf.common.ui",1276938788520
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.202.v20090205,"org.eclipse.jst.jsf.standard.tagsupport",1276938788520
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.2.v20090601,"org.eclipse.jst.pagedesigner.jsp.core",1276938788520
